time,thrust
1.95,77.63887574
1.96,77.61158252
1.97,73.63148652
1.98,69.19674644
1.99,69.15792349
2,65.88501118
2.01,65.84176396
2.02,63.16334772
2.03,63.11652076
2.04,61.72218592
2.05,61.67356928
2.06,59.16947413
2.07,55.37439359
2.08,55.3173685
2.09,50.82850538
2.1,50.765502
2.11,47.70804941
2.12,47.64107083
2.13,47.66399714
2.14,47.5972809
2.15,43.81746247
2.16,40.841172
2.17,40.76566331
2.18,39.64217685
2.19,39.565425
2.2,37.422583
2.21,37.34321999
2.22,35.52717134
2.23,35.44566325
2.24,33.77720414
2.25,32.70560521
2.26,32.62095505
2.27,32.47653167
2.28,32.39203198
2.29,29.9720005
2.3,29.88460864
2.31,28.12047257
2.32,28.03109369
2.33,29.94809128
2.34,28.54410922
2.35,28.45603316
2.36,27.17033362
2.37,27.08092859
2.38,27.47075516
2.39,27.38224802
2.4,25.16787944
2.41,25.07683725
2.42,26.33338898
2.43,25.91501573
2.44,25.82572226
2.45,24.53883393
2.46,24.44824741
2.47,24.29791476
2.48,24.20753057
2.49,24.89580508
2.5,22.77059103
2.51,22.67899735
2.52,22.94686312
2.53,22.85602443
2.54,24.11275152
2.55,24.0239353
2.56,23.81548729
2.57,23.7267945
2.58,23.63824076
2.59,23.13063242
2.6,23.0418214
2.61,22.71361287
2.62,22.6247784
2.63,22.38637484
2.64,22.29763382
2.65,22.80787589
2.66,22.72017701
2.67,22.00383778
2.68,22.63423041
2.69,22.54706557
2.7,21.47196302
2.71,21.3838374
2.72,21.77492112
2.73,21.68768177
2.74,21.45087656
2.75,21.36373377
2.76,21.54620549
2.77,21.22015149
2.78,21.13347191
2.79,21.10681678
2.8,21.02049541
2.81,20.30555355
2.82,20.21874099
2.83,19.53325406
2.84,19.44599484
2.85,18.49059889
2.86,18.61215593
2.87,18.52453429
2.88,18.7963498
2.89,18.70946494
2.9,18.05385867
2.91,17.9665797
2.92,18.11897424
2.93,18.03228596
2.94,17.91580692
2.95,17.9491423
2.96,17.86301065
2.97,16.84888617
2.98,16.76194002
2.99,16.79490665
3,16.70840963
